127.0.0.1, 2014-11-04 23:27:50, GET, /, HTTP/1.1, 303, 0.001421
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/default/index, HTTP/1.1, 200, 2.090358
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000857
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000473
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000406
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000392
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004714
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005625
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000525
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007080
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000642
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000306
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001008
127.0.0.1, 2014-11-04 23:27:52, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000867
127.0.0.1, 2014-11-04 23:27:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000318
127.0.0.1, 2014-11-04 23:27:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000828
127.0.0.1, 2014-11-04 23:27:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001562
127.0.0.1, 2014-11-04 23:27:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001137
127.0.0.1, 2014-11-04 23:27:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.027520
127.0.0.1, 2014-11-04 23:27:56, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000422
127.0.0.1, 2014-11-04 23:28:03, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 303, 0.498740
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/default/index, HTTP/1.1, 200, 0.030543
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.000425
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000359
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000595
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000278
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.000506
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000679
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.000590
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001509
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.011342
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000599
127.0.0.1, 2014-11-04 23:28:04, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.005616
